driver,position,gap_to_leader,picked
VER_r1,3,0.238,0
PER_r1,8,0.424,0
NOR_r1,5,0.294,0
LEC_r1,4,0.270,0
SAI_r1,1,0.000,1
HAM_r1,12,0.628,0
RUS_r1,6,0.366,0
MAG_r1,14,0.847,1
ALO_r1,2,0.141,0
GAS_r1,20,1.558,1
ZHO_r1,16,1.176,1
PIA_r1,7,0.386,0
OCO_r1,18,1.300,1
ALB_r1,15,1.141,0
STR_r1,10,0.572,1
SAR_r1,19,1.301,1
HUL_r1,9,0.454,0
TSU_r1,13,0.807,0
RIC_r1,11,0.625,0
BOT_r1,17,1.272,0
VER_r2,1,0.000,0
PER_r2,3,0.494,0
NOR_r2,5,0.559,0
LEC_r2,2,0.196,1
SAI_r2,10,0.894,0
HAM_r2,9,0.856,0
RUS_r2,4,0.552,0
MAG_r2,11,1.073,1
ALO_r2,6,0.626,1
GAS_r2,12,1.134,0
ZHO_r2,19,2.327,0
PIA_r2,8,0.801,0
OCO_r2,14,1.163,1
ALB_r2,17,1.396,0
STR_r2,7,0.715,0
SAR_r2,20,5.000,1
HUL_r2,14,1.263,1
TSU_r2,13,1.160,0
RIC_r2,16,1.328,0
BOT_r2,18,1.671,1
VER_r3,2,0.020,0
PER_r3,7,0.300,0
NOR_r3,10,0.776,0
LEC_r3,1,0.000,1
SAI_r3,3,0.077,1
HAM_r3,4,0.092,0
RUS_r3,5,0.172,0
MAG_r3,17,1.247,1
ALO_r3,6,0.283,0
GAS_r3,19,1.676,0
ZHO_r3,14,1.162,1
PIA_r3,8,0.373,0
OCO_r3,15,1.206,0
ALB_r3,13,1.045,0
STR_r3,9,0.627,0
SAR_r3,20,5.000,0
HUL_r3,16,1.227,1
TSU_r3,11,0.959,1
RIC_r3,18,1.249,0
BOT_r3,12,1.038,1
VER_r4,1,0.000,1
PER_r4,2,0.269,0
NOR_r4,6,0.574,0
LEC_r4,10,0.820,0
SAI_r4,7,0.608,0
HAM_r4,4,0.474,0
RUS_r4,3,0.355,0
MAG_r4,20,1.899,1
ALO_r4,5,0.519,0
GAS_r4,17,1.578,1
ZHO_r4,15,1.504,0
PIA_r4,8,0.663,0
OCO_r4,14,1.459,0
ALB_r4,11,0.970,0
STR_r4,18,1.779,0
SAR_r4,19,1.889,1
HUL_r4,16,1.576,1
TSU_r4,9,0.778,1
RIC_r4,13,1.119,0
BOT_r4,12,0.983,1
VER_r5,3,0.358,1
PER_r5,4,3.880,0
NOR_r5,16,2.328,0
LEC_r5,13,1.788,0
SAI_r5,14,1.982,0
HAM_r5,18,2.537,0
RUS_r5,17,2.504,0
MAG_r5,5,0.816,1
ALO_r5,19,2.634,0
GAS_r5,20,2.974,1
ZHO_r5,11,1.324,1
PIA_r5,2,0.327,0
OCO_r5,7,0.911,0
ALB_r5,8,0.927,1
STR_r5,1,0.000,0
SAR_r5,15,1.984,1
HUL_r5,5,0.799,0
TSU_r5,12,1.704,0
RIC_r5,9,0.936,0
BOT_r5,10,1.228,0
