constructor,position,fantasy_points
RED_r1,11,89
FER_r1,5,73
MER_r1,18,42
MCL_r1,12,36
AST_r1,12,20
ALP_r1,38,12
HAA_r1,23,9
WIL_r1,34,4
KCK_r1,33,10
VRB_r1,24,7
RED_r2,4,90
FER_r2,12,58
MER_r2,13,36
MCL_r2,12,41
AST_r2,13,9
ALP_r2,26,-13
HAA_r2,26,19
WIL_r2,37,14
KCK_r2,37,-4
VRB_r2,29,4
RED_r3,9,32
FER_r3,4,92
MER_r3,9,-17
MCL_r3,18,54
AST_r3,15,35
ALP_r3,34,6
HAA_r3,33,20
WIL_r3,33,5
KCK_r3,26,7
VRB_r3,29,24
RED_r4,3,108
FER_r4,17,59
MER_r4,7,28
MCL_r4,14,39
AST_r4,23,32
ALP_r4,31,11
HAA_r4,36,20
WIL_r4,30,-10
KCK_r4,27,-8
VRB_r4,22,-4
