driver,position,gap_to_leader,fantasy_points
VER_r1_fp1,6,0.369,45
PER_r1_fp1,12,0.544,31
NOR_r1_fp1,2,0.032,16
LEC_r1_fp1,8,0.399,22
SAI_r1_fp1,11,0.516,36
HAM_r1_fp1,9,0.433,12
RUS_r1_fp1,7,0.382,20
MAG_r1_fp1,19,4.608,7
ALO_r1_fp1,5,0.324,7
GAS_r1_fp1,18,2.275,6
ZHO_r1_fp1,15,1.054,11
PIA_r1_fp1,3,0.244,10
OCO_r1_fp1,17,1.938,7
ALB_r1_fp1,13,0.714,0
STR_r1_fp1,14,0.999,8
SAR_r1_fp1,16,1.344,3
HUL_r1_fp1,20,5.069,-3
TSU_r1_fp1,4,0.314,-1
RIC_r1_fp1,1,0.000,5
BOT_r1_fp1,10,0.485,0
VER_r1_fp2,6,0.477,45
PER_r1_fp2,10,0.741,31
NOR_r1_fp2,10,2.234,16
LEC_r1_fp2,9,0.739,22
SAI_r1_fp2,4,0.395,36
HAM_r1_fp2,1,0.000,12
RUS_r1_fp2,2,0.206,20
MAG_r1_fp2,14,1.39,7
ALO_r1_fp2,3,0.286,7
GAS_r1_fp2,16,1.577,6
ZHO_r1_fp2,19,1.674,11
PIA_r1_fp2,5,0.41,10
OCO_r1_fp2,18,1.653,7
ALB_r1_fp2,11,0.959,0
STR_r1_fp2,8,0.517,8
SAR_r1_fp2,13,1.341,3
HUL_r1_fp2,7,0.51,-3
TSU_r1_fp2,15,1.507,-1
RIC_r1_fp2,12,1.142,5
BOT_r1_fp2,17,1.653,0
