constructor,position,fantasy_points
RED_r1_fp1,18,89
FER_r1_fp1,19,73
MER_r1_fp1,16,42
MCL_r1_fp1,5,36
AST_r1_fp1,19,20
ALP_r1_fp1,35,12
HAA_r1_fp1,39,9
WIL_r1_fp1,29,4
KCK_r1_fp1,25,10
VRB_r1_fp1,5,7
RED_r1_fp2,16,89
FER_r1_fp2,13,73
MER_r1_fp2,3,42
MCL_r1_fp2,25,36
AST_r1_fp2,11,20
ALP_r1_fp2,34,12
HAA_r1_fp2,21,9
WIL_r1_fp2,24,4
KCK_r1_fp2,36,10
VRB_r1_fp2,27,7
RED_r1_fp3,11,89
FER_r1_fp3,5,73
MER_r1_fp3,18,42
MCL_r1_fp3,12,36
AST_r1_fp3,12,20
ALP_r1_fp3,38,12
HAA_r1_fp3,23,9
WIL_r1_fp3,34,4
KCK_r1_fp3,33,10
VRB_r1_fp3,24,7
RED_r2_fp1,4,90
FER_r2_fp1,11,58
MER_r2_fp1,12,36
MCL_r2_fp1,22,41
AST_r2_fp1,11,9
ALP_r2_fp1,30,-13
HAA_r2_fp1,39,19
WIL_r2_fp1,24,14
KCK_r2_fp1,29,-4
VRB_r2_fp1,28,4
RED_r2_fp2,8,90
FER_r2_fp2,11,58
MER_r2_fp2,10,36
MCL_r2_fp2,22,41
AST_r2_fp2,7,9
ALP_r2_fp2,24,-13
HAA_r2_fp2,35,19
WIL_r2_fp2,30,14
KCK_r2_fp2,33,-4
VRB_r2_fp2,30,4
RED_r2_fp3,4,90
FER_r2_fp3,12,58
MER_r2_fp3,13,36
MCL_r2_fp3,12,41
AST_r2_fp3,13,9
ALP_r2_fp3,26,-13
HAA_r2_fp3,26,19
WIL_r2_fp3,37,14
KCK_r2_fp3,37,-4
VRB_r2_fp3,29,4
RED_r3_fp1,8,32
FER_r3_fp1,12,92
MER_r3_fp1,12,-17
MCL_r3_fp1,11,54
AST_r3_fp1,25,35
ALP_r3_fp1,32,6
HAA_r3_fp1,29,20
WIL_r3_fp1,26,5
KCK_r3_fp1,39,7
VRB_r3_fp1,16,24
RED_r3_fp2,10,32
FER_r3_fp2,4,92
MER_r3_fp2,24,-17
MCL_r3_fp2,16,54
AST_r3_fp2,9,35
ALP_r3_fp2,32,6
HAA_r3_fp2,35,20
WIL_r3_fp2,33,5
KCK_r3_fp2,25,7
VRB_r3_fp2,22,24
RED_r3_fp3,9,32
FER_r3_fp3,4,92
MER_r3_fp3,9,-17
MCL_r3_fp3,18,54
AST_r3_fp3,15,35
ALP_r3_fp3,34,6
HAA_r3_fp3,33,20
WIL_r3_fp3,33,5
KCK_r3_fp3,26,7
VRB_r3_fp3,29,24
RED_r4_fp1,3,108
FER_r4_fp1,9,59
MER_r4_fp1,9,28
MCL_r4_fp1,18,39
AST_r4_fp1,22,32
ALP_r4_fp1,28,11
HAA_r4_fp1,32,20
WIL_r4_fp1,32,-10
KCK_r4_fp1,32,-8
VRB_r4_fp1,25,-4
